title,ML_precision,ML_recall,ML_f1_score,opencv_basic_method_precision,opencv_basic_method_recall,opencv_basic_method_f1_score,opencv_advanced_method_precision,opencv_advanced_method_recall,opencv_advanced_method_f1_score
FOX_CHILLINTALES_T17_016,0.9530712348361153,0.5490468537135683,0.6967238685700264,0.0,0.0,0.0,0.8606049613098989,0.5440289646085289,0.6666420586876486
FOX_CHILLINTALES_T17_021,0.4761222540592168,0.01031266404453995,0.02018806079704367,0.0,0.0,0.0,0.44633860319666435,0.15944547450408447,0.23495721659207436
FRED_PHILEMON12_006,0.41473422633998935,0.9894037220769895,0.5844718998957642,0.07003759514029032,0.11727835985261728,0.08770095730911862,0.6665989842291015,0.8559793609298559,0.7495114774633777
FRED_PHILEMON12_040,0.9214196759472616,0.9170206093858996,0.919214879567538,0.8049576649240548,0.7188539295641545,0.7594731299544789,0.5066609139162696,0.6588390394375031,0.5728151063148079
FRED_PHILEMON9_011,0.937465911474722,0.828315467548114,0.8795171633345906,0.04054291788545888,0.08400729047604337,0.05469120805747062,0.1286823083303709,0.8051280467084736,0.2218988791308901
FRED_PHILEMON9_014,0.9681037762478063,0.3635546635112263,0.528601977968775,0.4907135605950144,0.2055122655455175,0.2896981174364913,0.1482668075417557,0.17526635550091657,0.16063999594484782
INOUE_KYOUMEN_002,0.5674955595026643,0.016350656329162508,0.031785509985823364,0.4829242728622587,0.3536884931296538,0.4083245327051038,0.859737364047653,0.8485069471098488,0.8540852398215103
INOUE_KYOUMEN_006,0.7680040159091787,0.1679984457884245,0.2756904737152164,0.6849058188026533,0.6201050782173869,0.6508965975839521,0.9271169916434541,0.5622782714464304,0.7000126190926872
INOUE_KYOUMEN_008,0.24028268551236748,0.000826737668842932,0.0016478057527806722,0.5244191559981034,0.887478571689098,0.6592697961119015,0.7679269053103088,0.7336810494705232,0.7504134697887261
INOUE_KYOUMEN_011,0.0,0.0,0.0,0.02529004347921082,0.04607056856852873,0.03265461572640651,0.7764525659262501,0.4236502218949631,0.548193546725723
INOUE_KYOUMEN_013,0.8236259228876128,0.012747749463553372,0.025106904398709644,0.0672732396634325,0.02121662286214909,0.03225931002529006,0.6743472423902025,0.6250206325626277,0.6487476689707887
INOUE_KYOUMEN_016,0.0016891891891891893,0.00011346301735984165,0.00021264279554395209,0.20601780779858767,0.21994175565108862,0.2127522057523338,0.6950718137647498,0.656471804440186,0.6752206020604653
JOLIVET_BOSTONPOLICEAFFAIREPRADI_003,0.9271420211805068,0.9326413523604804,0.9298835560806893,0.6708088946541496,0.372674154930015,0.47915131546103545,0.7876523267845384,0.7543162093151843,0.7706239180485762
JOLIVET_BOSTONPOLICEAFFAIREPRADI_021,0.8687709143528987,0.9818545675598617,0.9218577164936738,0.5672693395900904,0.8844405472141678,0.6912069824492808,0.3191447468878334,0.8545299025752204,0.4647262843927321
